"words","dataset"
"abus","orig"
"attack","orig"
"benefit","orig"
"care","orig"
"cruel","orig"
"crush","orig"
"damag","orig"
"danger","orig"
"defend","orig"
"destroy","orig"
"fight","orig"
"guard","orig"
"harm","orig"
"hurt","orig"
"kill","orig"
"preserv","orig"
"protect","orig"
"ruin","orig"
"safe","orig"
"shelter","orig"
"spurn","orig"
"stomp","orig"
"suffer","orig"
"sympathi","orig"
"violent","orig"
"war","orig"
"abus","orig"
"abus","orig"
"abus","orig"
"abus","orig"
"sympathet","orig"
"sympathi","orig"
"damag","orig"
"damag","orig"
"attack","orig"
"attack","orig"
"attack","orig"
"attack","orig"
"attack","orig"
"benefit","orig"
"benefit","orig"
"benefit","orig"
"care","orig"
"care","orig"
"care","orig"
"crush","orig"
"crush","orig"
"crush","orig"
"danger","orig"
"defend","orig"
"defend","orig"
"defend","orig"
"detroy","orig"
"destroy","orig"
"destroy","orig"
"fight","orig"
"fought","orig"
"fight","orig"
"guard","orig"
"guard","orig"
"guard","orig"
"harm","orig"
"harm","orig"
"harm","orig"
"hurt","orig"
"hurt","orig"
"kill","orig"
"kill","orig"
"kill","orig"
"preserv","orig"
"preserv","orig"
"preserv","orig"
"protect","orig"
"protect","orig"
"protect","orig"
"protect","orig"
"ruin","orig"
"ruin","orig"
"ruin","orig"
"safe","orig"
"safer","orig"
"shelter","orig"
"shelter","orig"
"shelter","orig"
"spurn","orig"
"spurn","orig"
"spurn","orig"
"stomp","orig"
"stomp","orig"
"stomp","orig"
"suffer","orig"
"suffer","orig"
"suffer","orig"
"violenc","orig"
"war","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"doctor","all_exp1"
"crimin","all_exp1"
"medicin","all_exp1"
"health","all_exp1"
"mental","all_exp1"
"physic","all_exp1"
"hurt","all_exp1"
"love","all_exp1"
"protect","all_exp1"
"depress","all_exp1"
"pain","all_exp1"
"danger","all_exp1"
"violenc","all_exp1"
"wrong","all_exp1"
"care","all_exp1"
"abus","all_exp1"
"accid","all_exp1"
"father","all_exp1"
"hospit","all_exp1"
"mother","all_exp1"
"relationship","all_exp1"
"scare","all_exp1"
"injur","all_exp1"
"sick","all_exp1"
"treat","all_exp1"
"mom","all_exp1"
"blood","all_exp1"
"friend","all_exp1"
"thought","all_exp1"
"aid","all_exp1"
"safe","all_exp1"
"concern","all_exp1"
"damag","all_exp1"
"kind","all_exp1"
"nice","all_exp1"
"child","all_exp1"
"cruel","all_exp1"
"mean","all_exp1"
"parent","all_exp1"
"heart","all_exp1"
"bad","all_exp1"
"compass","all_exp1"
"anim","all_exp1"
"famili","all_exp1"
"injuri","all_exp1"
"comfort","all_exp1"
"cut","all_exp1"
"self","all_exp1"
"good","all_exp1"
"hate","all_exp1"
"nurs","all_exp1"
"peopl","all_exp1"
"heal","all_exp1"
"emot","all_exp1"
"feel","all_exp1"
"hit","all_exp1"
"hug","all_exp1"
"wound","all_exp1"
"help","all_exp1"
"knife","all_exp1"
"affect","all_exp1"
"bruis","all_exp1"
"attent","all_exp1"
"home","all_exp1"
"nurtur","all_exp1"
"drug","all_exp1"
"band","all_exp1"
"weapon","all_exp1"
"beat","all_exp1"
"children","all_exp1"
"respect","all_exp1"
"gun","all_exp1"
"neglect","all_exp1"
"sad","all_exp1"
"anger","all_exp1"
"murder","all_exp1"
"happi","all_exp1"
"trust","all_exp1"
"gentl","all_exp1"
"harm","all_exp1"
"kill","all_exp1"
"bulli","all_exp1"
"suicid","all_exp1"
"evil","all_exp1"
"fear","all_exp1"
"war","all_exp1"
"attack","all_exp1"
"safeti","all_exp1"
"warmth","all_exp1"
"respons","all_exp1"
"pet","all_exp1"
"fire","all_exp1"
"rape","all_exp1"
"disrespect","all_exp1"
"fight","all_exp1"
"emerg","all_exp1"
"love","reduce_exp1"
"relationship","reduce_exp1"
"treat","reduce_exp1"
"peopl","reduce_exp1"
"human","reduce_exp2"
"unit","reduce_exp2"
"countri","reduce_exp2"
"fight","reduce_exp2"
"first","reduce_exp2"
"friend","reduce_exp2"
"person","reduce_exp2"
"import","reduce_exp2"
"effect","reduce_exp2"
"abil","reduce_exp2"
"damag","reduce_exp2"
"defin","reduce_exp2"
"societi","reduce_exp2"
"speci","reduce_exp2"
"build","reduce_exp2"
"rais","reduce_exp2"
"hinder","reduce_exp2"
"union","reduce_exp2"
